name
api.azureml.ms
azure-automation.net
azurecr.io
azurewebsites.net
blob.core.windows.net
cognitiveservices.azure.com
datafactory.azure.net
dfs.core.windows.net
dp.kubernetesconfiguration.azure.com
file.core.windows.net
guestconfiguration.azure.com
his.arc.azure.com
mongo.cosmos.azure.com
notebooks.azure.net
search.windows.net
vaultcore.azure.net
